title,url,set,indegree,outdegree,pagerank
Empty title field,http://www.nasa.gov,[O],98,0,0.007805223226829927
Bushwhacked: Inside Stories of True Conspiracy by Uri Dowbenko,http://www.conspiracydigest.com/urisbook.html,[O],36,0,0.005393053016453389
Long Distance Rate Finder .com - Best telephone calling plans for home and business,http://www.longdistanceratefinder.com,[O],122,1,0.005382091312479527
"Gannett Company, Inc.",http://www.gannett.com,[O],43,0,0.00525594149908592
Real Estate Australia - Property for sale lease and rent online Australia wide,http://www.realestate.com.au,[O],77,0,0.004628274658840905
Spinning@bellaonline.com Chat room!,http://www.countrytouches.netfirms.com/chatroom.htm,[O],22,0,0.003473491773308958
Moon Hoax Index,http://www.redzero.demon.co.uk/moonhoax,[R],67,0,0.003255704909965157
Empty title field,http://a.tribalfusion.com/i.click?site=CamcorderInfocom&adSpace=ROS&size=468x60&requestID=864764495,[O],30,0,0.0031592778793418648
"Name a Star - International Star Registry (R) Pick name of your choice. Buy a star name an ideal gift for: Birthdays, Christmas and Mothers Day",http://click.linksynergy.com/fs-bin/stat?id=sZV71WSrLU0&offerid=24682.10000030&type=4&subid=0,[O],44,0,0.00313204109468856
World Vision Australia  My World Vision: World Vision Australia,http://svc003.bne104p.server-web.com/worldvision/news/lhn_redirect.asp,[O],60,0,0.0030396435006183075
Cognigen: Worldwide Telecommunications Long Distance Services,http://longdist.net/?apl,[O],65,1,0.0025852588476199295
&#1662;&#1585;&#1583;&#1607;,http://pardeh.blogspot.com,[I],48,0,0.0023340440878969935
Phil Plait's Bad Astronomy: Bad TV,http://www.badastronomy.com/bad/tv/foxapollo.html,[R],60,24,0.0022782872613139795
Apollo 11,http://nssdc.gsfc.nasa.gov/planetary/lunar/apollo11info.html,[R],34,5,0.002167147764363046
"Email-Lotto...Play for Free and Win $1,000,000.00!",http://www.email-lotto.com/member/24549/index.shtml,[O],30,0,0.002093851665631426
Tripod,http://brainsluice.tripod.com/moonlanding.html,[R],32,8,0.0020891640352335046
The Australian,http://theaustralian.news.com.au,[O],46,0,0.0020688596679816853
Yahoo! Groups,http://groups.yahoo.com,[O],37,0,0.0020529885942820133
Real.com - RealPlayer is now RealOne Player,"http://scopes.real.com/real/player/player.html?src=001113realhome_1,001108rpchoice_h1&amp;dc=111511141113",[O],11,0,0.001984503200678393
The Moon Shots Were Faked,http://batesmotel.8m.com,[R],41,2,0.001962569742529064
Was the moon landing a hoax?,http://www.dc8p.com/html/moonhoax.html,[R],14,0,0.001915779794550361
Sign in - Yahoo! Groups,http://groups.yahoo.com/group/badastronomy/join,[O],10,0,0.0018631353466371245
NASA Apollo 11 30th Anniversary,http://www.hq.nasa.gov/office/pao/History/ap11ann/introduction.htm,[O],38,1,0.001832176823586014
Science eStore,http://store.yahoo.com/science-estore,[O],30,0,0.001828153564899451
"ActivePlaza Online Shopping Mall, Online Store, Christmas Catalog, Discount Bargain Shopping",http://www.activeplaza.com,[O],30,0,0.001828153564899451
WebSquare.com - Online Shopping Mall,http://www.websquare.com,[O],30,0,0.001828153564899451
Empty title field,http://www.nature.com/nsu/020902/020902-8.html,[R],14,0,0.0016499085923217549
movabletype.org,http://www.movabletype.org,[O],26,0,0.0016448410180174332
"The Space Store is a NASA store and space shop with gifts, space shuttle toys, clothing, shirts, NASA mission patches, hats, NASA shuttle launch information, space food, models, flight jackets, astronaut flight suits, Apollo Saturn V Rockets, space replicas, spacecraft and lunar landers",http://www.qksrv.net/click-711517-7089906?url=http://www.thespacestore.com,[O],10,0,0.0016005730813438632
Apollo 11 - 30th Anniversary,http://nssdc.gsfc.nasa.gov/planetary/lunar/apollo_11_30th.html,[R],26,9,0.0015993470285690745
"Alien-UFOs.com - UFO, Crop Circle, Area 51, Roswell, Photograph, Abduction, Conspiracy Theory",http://www.alien-ufos.com,[O],32,1,0.0015736715111698033
Apollo11,http://www.moontruth.com,[R],17,0,0.0015620919300078347
American Express,http://www.americanexpress.com/cards/online_guarantee,[O],13,0,0.0015458256673927728
The Great Moon Hoax,http://science.nasa.gov/headlines/y2001/ast23feb_2.htm,[R],42,8,0.0015203420741231773
Exploring the Moon:&nbsp;&nbsp; Apollo 11 Mission,http://www.lpi.usra.edu/expmoon/Apollo11/Apollo11.html,[R],13,0,0.001497038664509984
Phil Plait's Bad Astronomy: Home Page,http://www.badastronomy.com,[I],45,1,0.0014596976929544584
NewsTravel,http://travel.news.com.au,[O],46,2,0.0014482017680540519
"Funny Thing Happened on the Way to the Moon - conspiracy, documentary, never went to the moon",http://www.moonmovie.com,[R],42,3,0.0014295803035536926
apollo,http://www.hq.nasa.gov/office/pao/History/apollo.html,[R],30,16,0.0014213937863571306
Technological Frontiers Society,http://www.uiuc.edu/ro/techfront,[O],7,0,0.0014168190127970747
"The Space Store is a NASA store and space shop with gifts, space shuttle toys, clothing, shirts, NASA mission patches, hats, NASA shuttle launch information, space food, models, flight jackets, astronaut flight suits, Apollo Saturn V Rockets, space replicas, spacecraft and lunar landers",http://www.qksrv.net/click-799750-5434249,[O],34,0,0.0013975002754710252
DISH Network e-Store,http://cognigen.net/dish/?apl,[O],64,0,0.0013865930304365797
Speakeasy High Speed Internet Service Offered by Cognigen,http://www.cognigen.net/speakeasy/?apl,[O],64,0,0.0013865930304365795
CogniDial Discount International Long Distance,http://www.cognidial.com/dial-around/?apl,[O],64,0,0.0013865930304365792
BILLZilla - The Best Long Distance Rate Calculator / Price Comparison Tool on the Net!,http://www.billzilla.com/apl,[O],64,0,0.001386593030436579
OneStar Communications - Long Distance And Local Telephone Service Bundle,http://cognigen.net/onestar/?apl,[O],64,0,0.001386593030436579
Fairfax Advertising Centre - Online,http://adcentre.fairfax.com.au/online/contact.htm,[O],15,1,0.0013784620658135282
SMH - Herald in the Classroom,http://www.classroom.smh.com.au,[O],11,0,0.0013717680856620525
Moon Landing Hoax,http://moonhoax1.tripod.com/MoonHoax,[R],15,6,0.001350950893613829
Knight Ridder Corporate Web site,http://www.knightridder.com,[O],7,0,0.001340651003908466
Apollo 11,http://www.nasm.edu/APOLLO/AS11/Apollo11_fact.html,[O],10,0,0.0012908272951359095
Faked Moon Landings? - Apollo Hoax Discussion Web Site,http://www.apollo-hoax.co.uk,[R],27,0,0.001279924150826092
Empty title field,http://popularmechanics.mondosearch.com,[O],6,0,0.0012797074954296159
Yahoo! Privacy,http://privacy.yahoo.com/privacy/aa,[O],9,1,0.001248061705095978
What You Need to Know About&#8482;,http://about.com,[O],13,0,0.0012471127280483324
Apollo Hoax,http://www.apollohoax.com,[O],20,0,0.001230782556518121
New Science: The Moon Landing Hoax (03/30/01),http://liftoff.msfc.nasa.gov/news/2001/news-moonlanding.asp,[R],13,0,0.0012212446678854356
Nowhere incoming Design Studios,http://nowhereincoming.now.nu,[O],23,0,0.0012066504108323123
Welcome To Spacecraft Films,http://www.spacecraftfilms.com,[O],14,0,0.001154377290630075
Thursday's Classroom,http://www.thursdaysclassroom.com,[O],20,0,0.0011289288166864298
Urban Legends and Folklore Classifieds,http://adlistings.urbanlegends.about.com,[O],9,11,0.0010954439236263243
TheCounter.com: The Full-Featured Web Counter with Graphic Reports and Detailed Information,http://www.TheCounter.com,[O],25,0,0.0010886072250819371
Welcome to IBS,http://www.ibsys.com,[O],15,0,0.0010740402193784282
Kidport Store,http://store.yahoo.com/kidport-store,[O],5,0,0.0010740402193784276
"Art.com - Your Home For Prints, Posters & Custom Framing",http://www.art.com/asp/display.asp?RFID=624423&amp;FT=Y&amp;id=1881,[O],15,0,0.0010722907500786841
Telescope to challenge moon doubters - smh.com.au,http://www.smh.com.au/articles/2002/11/24/1037697982142.html,[R],10,2,0.001069469835466179
Real.com - RealPlayer is now RealOne Player,http://www.real.com,[O],8,0,0.00106390840188006
"head-trip.org +_+ Pepperoni...Angry peppers...Mushrooms, olives, chives",http://www.head-trip.org,[O],20,0,0.0010520044398015147
Business.com - Business Search Engine and Business Directory for Business Information,http://www.business.com,[O],25,0,0.001050151098140129
Jobs in Australia,http://www.mycareer.com.au,[O],1,0,0.0010478078480020891
Everything Space Chat Room -- Please contact orstio@everything-space.com for a password,http://freechat.raidersoft.com/sigmachat.pl?room=6742,[O],16,0,0.0010330439685994315
NASA Moon Landin Hoax - Aulis Publsihers,http://www.aulis.com,[O],23,0,0.0010301532919148309
"Everything Space: Astronomy and Space News, Chat, Forums, Videos",http://www.everything-space.com,[O],29,3,0.001026910559325017
Lycos Zone,http://www.terralycos.com,[O],8,0,0.0010109759426545587
Terra Lycos | Do Business With Us,http://www.terralycos.com/business/dbwu_1_3.html,[O],8,0,0.0010109759426545587
International Space Station Flight Suits,http://www.qksrv.net/click-799750-5526238,[O],25,0,0.0010108131508954179
.INCREDIBLE ADVENTURES - Adventure Travel Around the World,http://www.avitop.com/afil/afil.asp?afil=1&amp;id=82,[O],17,0,0.0010063466393448114
SSDB: As Accurate as the New York Times,http://www.sgtstryker.com,[O],31,6,0.000994600940939712
Welcome to Indian Space Research Organisation,http://www.isro.org,[O],6,0,0.0009905268406182482
Overture - Search Performance,http://www.overture.com,[O],23,0,0.0009902464232902988
Ground Zero Radio,http://www.clydelewis.com,[O],5,0,0.0009802930256947778
VodkaPundit - Chill Before Serving,http://www.vodkapundit.com,[O],26,8,0.0009750055543286738
The Moon Landing of 1969,http://www.carpenoctem.tv/cons/moon.html,[R],17,0,0.0009736550013058243
Talk America Local And Long Distance Bundle Service,http://cognigen.net/talkamerica/?apl,[O],64,1,0.0009706151213056057
Cognigen: Worldwide Telecommunications Long Distance Services,http://ld.net/?apl,[O],64,1,0.0009706151213056057
PriceGrabber.com - The Smart Place to Start Your Shopping,http://camcorderinfo.pricegrabber.com/search_attrib.php?page_id=47,[O],14,0,0.0009654936014625228
STS-75 Shuttle 'Tether' Video Analysis,http://www.rense.com/general/stsd.htm,[O],13,0,0.0009643510054844608
Apollo Lunar Surface Journal,http://www.hq.nasa.gov/alsj/frame.html,[O],20,0,0.0009633431667064902
Yellow Pages and Business Directory - SMARTpages.com,http://y.ibsys.com/event.ng/Type=click&FlightID=7187&AdID=21129&TargetID=2900&Targets=2900&Values=1968&Redirect=http://www.smartpages.com,[O],14,0,0.000936928702010969
"Wedding Solutions: Wedding Planning, Receptions & Honeymoons Made Easy",http://y.ibsys.com/event.ng/Type=click&FlightID=7187&AdID=21129&TargetID=2900&Targets=2900&Values=3918&Redirect=http://bos.weddingsolutions.com,[O],14,0,0.000936928702010969
WCVB-TV Pet Center,http://wcvb-tvpet.ip2m.com/index.cfm,[O],14,0,0.000936928702010969
www.AndrewSullivan.com - Daily Dish,http://www.andrewsullivan.com,[O],25,0,0.0009351063404589002
2.09: The Wrong Stuff,http://www.wired.com/wired/archive/2.09/moon.land_pr.html,[R],11,0,0.0009301200772903633
Creative Commons Deed,http://creativecommons.org/licenses/by-nc-sa/1.0,[O],10,0,0.0009300727399842753
The Blair Witch Project,http://www.blairwitch.com,[O],2,0,0.0009232928888273171
Empty title field,http://TheHostPros.com,[O],17,0,0.0009223561405036465
New Science: The Moon Landing Hoax (03/30/01),http://liftoff.msfc.nasa.gov/News/2001/News-MoonLanding.asp,[O],6,0,0.0009222381822930267
NASA Apollo 11 30th Anniversary,http://history.nasa.gov/ap11ann/introduction.htm,[R],6,0,0.0009140767824497257
Real.com - RealPlayer is now RealOne Player,http://www.real.com/products/player/bbc.html,[O],6,0,0.0009140767824497257
NASA CORE - Central Operation of Resources for Educators - Search the Catalog,http://catalog.core.nasa.gov/core.nsf,[O],5,6,0.0009123963756498515
Blank Minidiscs and Minidisc Accessories at Digital-e,http://www.digital-e-uk.com,[O],8,0,0.0009100364094991628
Starry Night,http://www.qksrv.net/click-799750-5395123,[O],21,0,0.0008942683611330778
Exchange-it - Free Banner Exchange,http://www.exchange-it.com/link.go?b107780,[O],14,0,0.0008739661546748496
Amazon.com--Earth's Biggest Selection,http://www.amazon.com/exec/obidos/redirect-home/babyboomerheadquA,[O],3,0,0.0008683729433272395
SpaceDaily.Com - Your Portal To Space,http://www.spacedaily.com,[O],19,0,0.0008675756077842491
Chariots for Apollo: A History of Manned Lunar Spacecraft,http://www.hq.nasa.gov/office/pao/History/SP-4205/cover.html,[O],16,0,0.0008636274113125414
JSC Digital Image Collection - AS11,http://images.jsc.nasa.gov/iams/html/pao/as11.htm,[O],10,1,0.0008599441494276702
Kennedy Space Center Home Page,http://www.ksc.nasa.gov,[O],22,1,0.0008504454683287348
Site Meter - Counter and Statistics Tracker,http://sm3.sitemeter.com/stats.asp?site=sm3kestrelsnest,[O],5,0,0.0008386654478976234
Adobe Acrobat Reader - Download,http://www.adobe.com/products/acrobat/readstep.html,[O],5,0,0.0008272394881170019
Boeing Celebrates the 30th Anniversary of Apollo 11,http://www.boeing.com/news/feature/apollo11,[O],11,0,0.0008207564439275542
GNU's Not Unix! - the GNU Project and the Free Software Foundation (FSF),http://www.gnu.org,[O],5,0,0.0008194867917488326
Posters Posters Posters,http://posters-posters-posters.com,[O],20,0,0.000816394138876573
NASA Apollo Mission Apollo-11,http://science.ksc.nasa.gov/history/apollo/apollo-11/apollo-11.html,[R],10,2,0.0008161654478976235
Open Directory - Help Central,http://dmoz.org/about.html,[O],5,0,0.0008055865334557378
Matt Welch,http://www.mattwelch.com,[O],27,1,0.0007972330938906429
Jim Oberg's Pioneering Space,http://www.jamesoberg.com,[O],14,0,0.0007938472958937861
The First Lunar Landing,http://www.hq.nasa.gov/office/pao/History/ap11ann/FirstLunarLanding/cover.html,[O],6,0,0.0007938228535566175
Alien-UFOs.com Forum @ www.ezboard.com,http://pub69.ezboard.com/balienufosforum,[O],1,2,0.0007920289255753683
The Moon,http://www.seds.org/nineplanets/nineplanets/luna.html,[O],15,2,0.0007884484859827772
Smithsonian National Air and Space Museum Home Page,http://www.nasm.edu,[O],14,0,0.0007851795113456479
Dynamist.com,http://www.dynamist.com,[O],21,0,0.0007806725018939446
Empty title field,http://media.fastclick.net/w/click.here?sid=4859&m=1&c=1,[O],18,0,0.0007787084142952337
Empty title field,http://media.fastclick.net/w/click.here?sid=4859&m=3&c=1,[O],18,0,0.0007787084142952335
Aliens on Earth - Mothership,http://www.aliensonearth.com,[O],3,0,0.0007769652650822669
Apollo 11 Lunar Surface Journal,http://www.hq.nasa.gov/alsj/a11/a11j.html,[O],4,0,0.0007737979031386855
